CODIGO,ESTACION,YEAR,MONTH,PP,TMAX,TMIN
106119,TINGO DE PONAZA,1990,1,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,2,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,3,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,4,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,5,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,6,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,7,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,8,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,9,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,10,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,11,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1990,12,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,1,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,2,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,3,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,4,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,5,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,6,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,7,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,8,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,9,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,10,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,11,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1991,12,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,1,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,2,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,3,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,4,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,5,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,6,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,7,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,8,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,9,-999.0,-999.0,-999.0
106119,TINGO DE PONAZA,1992,10,-999.0,-999.0,-999.0
